Model,n_pass_raw,n_pass_norm,mmd_raw,mmd_norm,disc_distance_raw,disc_distance_norm,wasserstein_1d_raw,wasserstein_1d_norm,correlation_matrix_distance_raw,correlation_matrix_distance_norm,composite_weighted,composite_equal
sigmoid,3.3333333333333335,1.0,0.06164133333333333,0.9762769821093583,0.37166666666666665,0.9182058047493405,0.338989,0.984298886225281,7.3956333333333335,0.0,0.8720505853372028,0.7757563346167959
vpred,3.0,0.8333333333333334,0.05050866666666667,1.0,0.422,0.519788918205805,0.2979576666666666,1.0,5.8872,1.0,0.8299472295514512,0.8706244503078278
best_combo,2.3333333333333335,0.5000000000000001,0.054629000000000004,0.9912198268115988,0.36133333333333334,1.0,0.3102953333333333,0.9952788493009921,7.380366666666667,0.010120875964024252,0.7483449292294014,0.699323910415323
selfcond,3.3333333333333335,1.0,0.24200233333333332,0.5919389472173862,0.47383333333333333,0.1094986807387865,1.0824606666666667,0.6998008629273149,7.2434666666666665,0.10087728990343203,0.5554272222721178,0.500423156157384
crossattn,2.3333333333333335,0.5000000000000001,0.3674543333333333,0.3246085645223041,0.4865,0.009234828496042517,1.7001683333333333,0.4634278873026008,7.3258,0.046295273241553095,0.28443316430900206,0.26871331071250015
dit,2.3333333333333335,0.5000000000000001,0.5197856666666666,0.0,0.4876666666666667,0.0,2.9112329999999997,0.0,7.384266666666666,0.007535412016883352,0.15075354120168835,0.10150708240337669
baseline,1.3333333333333333,0.0,0.36376366666666665,0.3324731448590064,0.48666666666666664,0.007915567282322344,1.678895,0.4715683740940168,7.182433333333333,0.14133869577707586,0.14638788502244146,0.1906591564024843
