patch_stride,sf_passed_mean,mmd_mean,disc_mean,w1_mean,corr_dist_mean,ks_mean
1,4.0,0.02359,0.7137333333333333,0.299083,1.4799333333333333,0.09586666666666667
2,4.0,0.021326333333333336,0.7209,0.32089033333333333,1.7624333333333333,0.1042
3,4.0,0.022772333333333335,0.7160666666666667,0.30052033333333333,2.3933666666666666,0.11173333333333334
5,4.666666666666667,0.02863,0.7515666666666667,0.2717833333333333,3.9059666666666666,0.13606666666666667
10,4.0,0.04626566666666667,0.7389,0.31961033333333333,6.073899999999999,0.146
20,3.3333333333333335,0.060642,0.7530666666666667,0.3846583333333333,7.226066666666667,0.1627333333333333
