patch_stride,sf1_pass,sf2_pass,sf3_pass,sf4_pass,sf5_pass,sf6_pass
1,0.0,1.0,1.0,1.0,1.0,0.0
2,0.0,1.0,1.0,1.0,1.0,0.0
3,0.0,1.0,1.0,1.0,1.0,0.0
5,0.6666666666666666,1.0,1.0,1.0,1.0,0.0
10,0.0,1.0,1.0,1.0,1.0,0.0
20,0.0,0.3333333333333333,1.0,1.0,1.0,0.0
